Perfil,h (mm),b (mm),tw (mm),tf (mm),r (mm),d (mm),A (cm2),G (Kg/m1),Iy (cm4),Wy (cm3),iy (cm1),Iz (cm4),Wz (cm3),iz (cm1)
"REC 400x250x10",400,250,10,"","","",126,98.5,27940,1077,14.9,"","",""
"REC 400x250x12.5",400,250,12.5,"","","",155,122,34100,1307,14.8,"","",""
"REC 400x250x14.2",400,250,14.2,"","","",176,138,38110,1455,14.7,"","",""
"REC 400x250x16",400,250,16,"","","",197,154,42200,1605,14.7,"","",""
"REC 400x300x6.3",400,300,6.3,"","","",86.2,67.7,20580,884,15.5,"","",""
"REC 400x300x8",400,300,8,"","","",109,85.4,25710,1100,15.4,"","",""
"REC 400x300x10",400,300,10,"","","",135,106,31520,1350,15.3,"","",""
"REC 400x300x12.5",400,300,12.5,"","","",167,131,38450,1640,15.2,"","",""
"REC 400x300x14.2",400,300,14.2,"","","",189,148,42950,1830,15.1,"","",""
"REC 400x300x16",400,300,16,"","","",211,166,47540,2020,15,"","",""
"REC 450x250x6.3",450,250,6.3,"","","",86.2,67.7,24070,781,16.7,"","",""
"REC 450x250x8",450,250,8,"","","",109,85.4,30080,971,16.6,"","",""
"REC 450x250x10",450,250,10,"","","",135,106,36900,1185,16.5,"","",""
"REC 450x250x12.5",450,250,12.5,"","","",167,131,45030,1438,16.4,"","",""
"REC 450x250x14.2",450,250,14.2,"","","",189,148,50320,1600,16.3,"","",""
"REC 450x250x16",450,250,16,"","","",211,166,55710,1763,16.2,"","",""
"REC 500x200x6.3",500,200,6.3,"","","",86.2,67.7,27240,656,17.8,"","",""
"REC 500x200x8",500,200,8,"","","",109,85.4,34050,814,17.7,"","",""
"REC 500x200x10",500,200,10,"","","",135,106,41760,989,17.6,"","",""
"REC 500x200x12.5",500,200,12.5,"","","",167,131,50960,1190,17.5,"","",""
"REC 500x200x14.2",500,200,14.2,"","","",189,148,56940,1320,17.4,"","",""
"REC 500x200x16",500,200,16,"","","",211,166,63040,1450,17.3,"","",""
"REC 500x300x6.3",500,300,6.3,"","","",98.8,77.5,34920,1070,18.8,"","",""
"REC 500x300x8",500,300,8,"","","",125,97.9,43728,1330,18.7,"","",""
"REC 500x300x10",500,300,10,"","","",155,122,53760,1629,18.6,"","",""
"REC 500x300x12",500,300,12,"","","",185,145,63446,1916,18.5,"","",""
"REC 500x300x12.5",500,300,12.5,"","","",192,151,65810,1985,18.5,"","",""
"REC 500x300x14.2",500,300,14.2,"","","",217,170,73700,2216,18.4,"","",""
"REC 500x300x16",500,300,16,"","","",243,191,81780,2451,18.3,"","",""
